"Search Parameters";"Volcano Name";"Country";"Latitude";"Longitude";"Elevation (m)";""
"";"Reporoa";"New Zealand";"-38.42";"176.33";"592";""
"";"Ruapehu";"New Zealand";"-39.28";"175.57";"2797";""
"";"Rumble II West";"New Zealand";"-35.353";"178.527";"-1200";""
"";"Rumble III";"New Zealand";"-35.745";"178.478";"-220";""
"";"Rumble IV";"New Zealand";"-36.13";"178.05";"-500";""
"";"Rumble V";"New Zealand";"-36.142";"178.196";"-400";""
"";"Tangaroa";"New Zealand";"-36.321";"178.028";"-600";""
"";"Taranaki";"New Zealand";"-39.3";"174.07";"2518";""
"";"Taupo";"New Zealand";"-38.781";"175.893";"760";""
"";"Tongariro";"New Zealand";"-39.157";"175.632";"1978";""
"";"Whakaari/White Island";"New Zealand";"-37.52";"177.18";"294";""
"";"Whangarei";"New Zealand";"-35.75";"174.27";"397";""
"";"Apoyeque";"Nicaragua";"12.242";"-86.342";"518";""
"";"Azul, Volcan";"Nicaragua";"12.53";"-83.87";"201";""
"";"Ciguatepe, Cerro El";"Nicaragua";"12.53";"-86.142";"603";""
"";"Concepcion";"Nicaragua";"11.538";"-85.622";"1700";""
"";"Cosiguina";"Nicaragua";"12.98";"-87.57";"872";""
"";"Esteli";"Nicaragua";"13.17";"-86.4";"899";""
"";"Granada";"Nicaragua";"11.9";"-85.979";"250";""
"";"Lajas, Las";"Nicaragua";"12.3";"-85.73";"926";""
"";"Las Pilas-El Hoyo Complex";"Nicaragua";"12.492";"-86.679";"1088";""
"";"Maderas";"Nicaragua";"11.446";"-85.515";"1394";""
"";"Masaya";"Nicaragua";"11.984";"-86.169";"594";""
"";"Mombacho";"Nicaragua";"11.826";"-85.968";"1344";""
"";"Momotombo";"Nicaragua";"12.423";"-86.539";"1270";""
"";"Negro, Cerro";"Nicaragua";"12.506";"-86.702";"728";""
"";"Nejapa-Miraflores";"Nicaragua";"12.12";"-86.32";"360";""
"";"Rota";"Nicaragua";"12.55";"-86.75";"832";""
"";"San Cristobal";"Nicaragua";"12.702";"-87.004";"1745";""
"";"Telica";"Nicaragua";"12.606";"-86.84";"1036";""
"";"Zapatera";"Nicaragua";"11.73";"-85.82";"629";""
"";"Galapagos Rift";"Pacific Ocean";"0.792";"-86.15";"-2430";""
"";"Galapagos Rift";"Pacific Ocean";"0.792";"-86.15";"-2430";""
"";"Northern EPR at 10.7A�N";"Pacific Ocean";"10.73";"-103.58";"-2900";""
"";"Northern EPR at 16A�N";"Pacific Ocean";"15.83";"-105.43";"-2300";""
"";"Northern EPR at 17A�N";"Pacific Ocean";"16.55";"-105.32";"-2700";""
"";"Northern EPR at 9.8A�N";"Pacific Ocean";"9.83";"-104.3";"-2500";""
"";"Southern EPR at 8A�S";"Pacific Ocean";"-8.27";"-107.95";"-2800";""
"";"Southern EPR-Segment I";"Pacific Ocean";"-18.53";"-113.42";"-2600";""
"";"Southern EPR-Segment J";"Pacific Ocean";"-18.175";"-113.35";"-2650";""
"";"Southern EPR-Segment K";"Pacific Ocean";"-17.436";"-113.206";"-2566";""
"";"Unnamed";"Pacific Ocean";"9.82";"-104.3";"-2500";""
"";"West Valley Segment";"Canada";"48.78";"-128.64";"-2550";""
"";"Axial Seamount";"Pacific Ocean";"45.95";"-130";"-1410";""
"";"Cleft Segment";"Pacific Ocean";"44.83";"-130.3";"-2140";""
"";"CoAxial Segment";"Pacific Ocean";"46.52";"-129.58";"-2400";""
"";"Cobb Segment";"Pacific Ocean";"46.88";"-129.33";"-2100";""
"";"East Blanco Depression";"Pacific Ocean";"44.267";"-129.879";"-3000";""
"";"Endeavour Segment";"Pacific Ocean";"47.95";"-129.1";"-2050";""
"";"Escanaba Segment";"Pacific Ocean";"40.98";"-127.5";"-1700";""
"";"Jackson Segment";"Pacific Ocean";"42.15";"-127.05";"-3100";""
"";"North Gorda Ridge Segment";"Pacific Ocean";"42.67";"-126.78";"-3000";""
"";"Unnamed";"Pacific Ocean";"31.75";"-124.25";"-2533";""
"";"Unnamed";"Pacific Ocean";"31.75";"-124.25";"-2533";""
"";"Antipodes Island";"New Zealand";"-49.683";"178.767";"402";""
"";"Hollister Ridge";"Pacific Ocean";"-53.998";"-139.845";"-1000";""
"";"Udintsev Transform";"Pacific Ocean";"-56.153";"-143.373";"-5700";""
"";"Unnamed";"Pacific Ocean";"-53.9";"-140.3";"-1000";""
"";"Baru";"Panama";"8.808";"-82.543";"3474";""
"";"Valle, El";"Panama";"8.58";"-80.17";"1185";""
"";"Andahua-Orcopampa";"Peru";"-15.42";"-72.33";"4713";""
"";"Auquihuato, Cerro";"Peru";"-15.07";"-73.18";"4980";""
"";"Casiri, Nevados";"Peru";"-17.485";"-69.789";"5650";""
"";"Chachani, Nevado";"Peru";"-16.191";"-71.53";"5626";""
"";"Coropuna";"Peru";"-15.52";"-72.65";"6377";""
"";"Huambo";"Peru";"-15.78";"-72.08";"4554";""
"";"Huaynaputina";"Peru";"-16.614";"-70.854";"4679";""
"";"Kimsachata-Oroscocha";"Peru";"-14.131";"-71.363";"3848";""
"";"Misti, El";"Peru";"-16.294";"-71.409";"5822";""
"";"Nicholson, Cerro";"Peru";"-16.261";"-71.754";"2525";""
"";"Sabancaya";"Peru";"-15.787";"-71.857";"5960";""
"";"Sara Sara";"Peru";"-15.33";"-73.45";"5522";""
"";"Ticsani";"Peru";"-16.759";"-70.598";"5382";""
"";"Tutupaca";"Peru";"-17.026";"-70.372";"5801";""
"";"Ubinas";"Peru";"-16.345";"-70.897";"5608";""
"";"Yucamane";"Peru";"-17.184";"-70.196";"5495";""
"";"Biliran";"Philippines";"11.523";"124.535";"1301";""
"";"Cabalian";"Philippines";"10.285";"125.218";"912";""
"";"Cuernos de Negros";"Philippines";"9.25";"123.17";"1862";""
"";"Kanlaon";"Philippines";"10.41";"123.13";"2422";""
"";"Mahagnao";"Philippines";"10.882";"124.888";"860";""
"";"Mandalagan";"Philippines";"10.65";"123.25";"1885";""
"";"Silay";"Philippines";"10.77";"123.23";"1510";""
"";"Hanish";"Yemen";"13.72";"42.73";"422";""
"";"Tair, Jebel at";"Yemen";"15.55";"41.83";"244";""
"";"Zubair Group";"Yemen";"15.05";"42.18";"191";""
"";"Zukur";"Yemen";"14.02";"42.75";"624";""
"";"Azas Plateau";"Russia";"52.433";"98.303";"2765";""
"";"Jom-Bolok";"Russia";"52.713";"99.021";"2047";""
"";"Southern Sikhote-Alin";"Russia";"44.5";"135.5";"0";""
"";"Tunkin Depression";"Russia";"51.5";"102.5";"1200";""
"";"Udokan Plateau";"Russia";"56.28";"117.77";"2180";""
"";"Vitim Volcanic Field";"Russia";"53.75";"113.25";"1250";""
"";"Elbrus";"Russia";"43.351";"42.442";"5642";""
"";"Akusekijima";"Japan";"29.465";"129.594";"555";""
"";"Io-Torishima";"Japan";"27.881";"128.223";"212";""
"";"Kikai";"Japan";"30.793";"130.305";"704";""
"";"Kuchino-shima";"Japan";"29.97";"129.93";"627";""
"";"Kuchinoerabujima";"Japan";"30.443";"130.217";"657";""
"";"Kuchinoshima";"Japan";"29.968";"129.926";"628";""
"";"Nakanoshima";"Japan";"29.859";"129.857";"979";""
"";"Submarine Volcano NNE of Iriomotejima";"Japan";"24.57";"123.93";"-200";""
"";"Suwanosejima";"Japan";"29.638";"129.714";"796";""
"";"Yokoatejima";"Japan";"28.797";"128.997";"495";""
"";"Tutuila";"American Samoa";"-14.29";"-170.702";"653";""
"";"Savaii";"Samoa";"-13.612";"-172.525";"1858";""
"";"Upolu";"Samoa";"-13.935";"-171.72";"1100";""
"";"Malumalu";"United States";"-14.601";"-169.787";"-145";""
"";"Ofu-Olosega";"United States";"-14.175";"-169.618";"639";""
"";"Ta'u";"United States";"-14.23";"-169.454";"931";""
"";"Vailulu'u";"United States";"-14.215";"-169.058";"-592";""
"";"Awu";"Indonesia";"3.689";"125.447";"1318";""
"";"Banua Wuhu";"Indonesia";"3.138";"125.491";"-5";""
"";"Karangetang";"Indonesia";"2.781";"125.407";"1797";""
"";"Ruang";"Indonesia";"2.3";"125.37";"725";""
"";"Unnamed";"Indonesia";"3.97";"124.17";"-5000";""
"";"Tinakula";"Solomon Is.";"-10.386";"165.804";"796";""
"";"Hainan Volcanic Field";"China";"19.905";"110.229";"196";""
"";"Leizhou Bandao";"China";"20.83";"109.78";"259";""
"";"Lower Chindwin";"Myanmar";"22.28";"95.1";"385";""
"";"Popa";"Myanmar";"20.92";"95.25";"1518";""
"";"Singu Plateau";"Myanmar";"22.7";"95.98";"507";""
"";"Bas Dong Nai";"Vietnam";"10.8";"107.2";"392";""
"";"Cendres, Ile des";"Vietnam";"10.158";"109.014";"-20";""
"";"Haut Dong Nai";"Vietnam";"11.6";"108.2";"1000";""
"";"Ly Son Group";"Vietnam";"15.38";"109.12";"157";""
"";"Toroeng Prong";"Vietnam";"14.93";"108";"800";""
"";"Veteran";"Vietnam";"9.83";"109.05";"-50";""
"";"Mehetia";"France";"-17.874";"-148.068";"389";""
"";"Moua Pihaa";"France";"-18.325";"-148.525";"-312";""
"";"Rocard";"France";"-17.662";"-148.586";"-2515";""
"";"Teahitia";"France";"-17.564";"-148.821";"-1743";""
"";"Adams Seamount";"Pacific Ocean";"-25.37";"-129.27";"-39";""
"";"Coleman Seamount";"Solomon Is.";"-8.841";"157.16";"-717";""
"";"Gallego";"Solomon Is.";"-9.35";"159.73";"1000";""
"";"Kana Keoki";"Solomon Is.";"-8.75";"157.03";"-700";""
"";"Kavachi";"Solomon Is.";"-8.991";"157.979";"-20";""
"";"Savo";"Solomon Is.";"-9.13";"159.82";"485";""
"";"Simbo";"Solomon Is.";"-8.292";"156.52";"335";""
"";"Unnamed";"Solomon Is.";"-8.92";"158.03";"-240";""
"";"Calatrava Volcanic Field";"Spain";"38.87";"-4.02";"1117";""
"";"Olot Volcanic Field";"Spain";"42.17";"2.53";"893";""
"";"Ambang";"Indonesia";"0.75";"124.42";"1795";""
"";"Colo";"Indonesia";"-0.162";"121.601";"404";""
"";"Klabat";"Indonesia";"1.454";"125.031";"1968";""
"";"Lokon-Empung";"Indonesia";"1.358";"124.792";"1580";""
"";"Mahawu";"Indonesia";"1.352";"124.865";"1299";""
"";"Riendengan-Sempu";"Indonesia";"1.13";"124.758";"1549";""
"";"Soputan";"Indonesia";"1.112";"124.737";"1785";""
"";"Tangkoko-Duasudara";"Indonesia";"1.518";"125.185";"1334";""
"";"Tondano Caldera";"Indonesia";"1.23";"124.83";"1202";""
"";"Bud Dajo";"Philippines";"5.95";"121.07";"440";""
"";"Besar";"Indonesia";"-4.43";"103.67";"1899";""
"";"Daun, Bukit";"Indonesia";"-3.38";"102.37";"2467";""
"";"Dempo";"Indonesia";"-4.016";"103.121";"3142";""
"";"Hulubelu";"Indonesia";"-5.334";"104.59";"849";""
"";"Hululais";"Indonesia";"-3.247";"102.239";"2122";""
"";"Hutapanjang";"Indonesia";"-2.33";"101.6";"2021";""
"";"Hutapanjang";"Indonesia";"-2.333";"101.6";"2021";""
"";"Imun";"Indonesia";"2.15";"98.93";"1505";""
"";"Kaba";"Indonesia";"-3.522";"102.615";"1940";""
"";"Kerinci";"Indonesia";"-1.697";"101.264";"3800";""
"";"Lubukraya";"Indonesia";"1.478";"99.209";"1862";""
"";"Lumut Balai, Bukit";"Indonesia";"-4.22";"103.62";"2055";""
"";"Malintang";"Indonesia";"0.47";"99.67";"1983";""
"";"Marapi";"Indonesia";"-0.38";"100.474";"2885";""
"";"Patah";"Indonesia";"-4.257";"103.306";"2836";""
"";"Pendan";"Indonesia";"-2.82";"102.02";"0";""
"";"Peuet Sague";"Indonesia";"4.903";"96.289";"2785";""
"";"Rajabasa";"Indonesia";"-5.78";"105.625";"1281";""
"";"Ranau";"Indonesia";"-4.871";"103.925";"1854";""
"";"Sarik-Gajah";"Indonesia";"0.074";"100.189";"737";""
"";"Sekincau Belirang";"Indonesia";"-5.107";"104.317";"1717";""
"";"Seulawah Agam";"Indonesia";"5.448";"95.658";"1810";""
"";"Sibualbuali";"Indonesia";"1.556";"99.255";"1819";""
"";"Sinabung";"Indonesia";"3.17";"98.392";"2460";""
"";"Singkut";"Indonesia";"3.238";"98.513";"2181";""
"";"Sorikmarapi";"Indonesia";"0.686";"99.539";"2145";""
"";"Sumbing";"Indonesia";"-2.414";"101.728";"2507";""
"";"Suoh";"Indonesia";"-5.25";"104.27";"1000";""
"";"Talakmau";"Indonesia";"0.079";"99.98";"2919";""
"";"Talang";"Indonesia";"-0.979";"100.681";"2575";""
"";"Tandikat-Singgalang";"Indonesia";"-0.39";"100.331";"2854";""
"";"Telong, Bur ni";"Indonesia";"4.769";"96.821";"2617";""
"";"Toba";"Indonesia";"2.608";"98.842";"2157";""
"";"Hunter Island";"Pacific Ocean";"-22.4";"172.05";"297";""
"";"Matthew Island";"Pacific Ocean";"-22.33";"171.32";"177";""
"";"Unnamed";"Pacific Ocean";"-25.78";"168.63";"-2400";""
"";"Gemini-Oscostar";"Vanuatu";"-20.957";"170.13";"-33";""
"";"Wallis Islands";"Wallis & Futuna";"-13.3";"-176.17";"143";""
"";"Es Safa";"Syria";"33.08";"37.15";"979";""
"";"Sharat Kovakab";"Syria";"36.536";"40.858";"516";""
"";"Unnamed";"Syria";"36.67";"37";"0";""
"";"Unnamed";"Syria";"33.308";"36.925";"945";""
"";"Unnamed";"Syria";"33.15";"36.258";"1197";""
"";"Unnamed";"Syria";"32.658";"36.425";"1436";""
"";"Tatun Volcanic Group";"China";"25.178";"121.553";"1120";""
"";"Kueishantao";"Taiwan";"24.841";"121.953";"361";""
"";"Unnamed";"Taiwan";"20.93";"134.75";"-6000";""
"";"Unnamed";"Taiwan";"21.83";"121.18";"-115";""
"";"Unnamed";"Taiwan";"24";"121.83";"0";""
"";"Unnamed";"Taiwan";"19.17";"132.25";"-10";""
"";"Unnamed";"Taiwan";"25.42";"122.33";"-100";""
"";"Zengyu";"Taiwan";"26.18";"122.458";"-418";""
"";"Curacoa";"Tonga";"-15.62";"-173.67";"-33";""
"";"Dugong";"Tonga";"-15.431";"-175.725";"-1170";""
"";"Fonuafo'ou";"Tonga";"-20.32";"-175.42";"-17";""
"";"Fonualei";"Tonga";"-18.023";"-174.317";"188";""
"";"Home Reef";"Tonga";"-18.992";"-174.775";"-10";""
"";"Hunga Tonga-Hunga Ha'apai";"Tonga";"-20.553";"-175.384";"114";""
"";"Kao";"Tonga";"-19.668";"-175.016";"1009";""
"";"Late";"Tonga";"-18.806";"-174.65";"540";""
"";"Lateiki";"Tonga";"-19.18";"-174.87";"43";""
"";"Lobster";"Tonga";"-15.333";"-176.283";"-1500";""
"";"Niuafo'ou";"Tonga";"-15.6";"-175.63";"260";""
"";"Niuatahi";"Tonga";"-15.379";"-174.003";"-1270";""
"";"Tafahi";"Tonga";"-15.85";"-173.72";"546";""
"";"Tafu-Maka";"Tonga";"-15.37";"-174.23";"-1400";""
"";"Tofua";"Tonga";"-19.75";"-175.07";"515";""
"";"Unnamed";"Tonga";"-21.338";"-175.65";"-68";""
"";"Unnamed";"Tonga";"-21.07";"-175.33";"0";""
"";"Unnamed";"Tonga";"-20.852";"-175.55";"-296";""
"";"Unnamed";"Tonga";"-24.8";"-177.02";"-385";""
"";"Unnamed";"Tonga";"-21.15";"-175.75";"-65";""
"";"Unnamed";"Tonga";"-18.325";"-174.365";"-40";""
"";"West Mata";"Tonga";"-15.1";"-173.75";"-1174";""
"";"Piparo";"Trinidad";"10";"-61";"140";""
"";"Acigol-Nevsehir";"Turkey";"38.537";"34.621";"1683";""
"";"Ararat";"Turkey";"39.7";"44.3";"5165";""
"";"Erciyes Volcanic Complex";"Turkey";"38.531";"35.447";"3864";""
"";"Girekol";"Turkey";"39.17";"43.33";"0";""
"";"Gollu Dag";"Turkey";"38.25";"34.57";"2143";""
"";"Hasandag-Keciboyduran";"Turkey";"38.13";"34.17";"3253";""
"";"Karaca Dag";"Turkey";"37.67";"39.83";"1957";""
"";"Karapinar Field";"Turkey";"37.667";"33.6";"1302";""
"";"Kars Plateau";"Turkey";"40.75";"42.9";"3000";""
"";"Kula";"Turkey";"38.58";"28.52";"750";""
"";"Nemrut Dagi";"Turkey";"38.654";"42.229";"2948";""
"";"Suphan Dagi";"Turkey";"38.92";"42.82";"4434";""
"";"Tenduruk Dagi";"Turkey";"39.356";"43.874";"3514";""
"";"San Francisco Volcanic Field";"United States";"35.347";"-111.678";"3850";""
"";"Uinkaret Field";"United States";"36.38";"-113.13";"1555";""
"";"Big Cave";"United States";"40.955";"-121.365";"1259";""
"";"Brushy Butte";"United States";"41.178";"-121.443";"1174";""
"";"Clear Lake Volcanic Field";"United States";"38.97";"-122.77";"1439";""
"";"Coso Volc Field";"United States";"36.03";"-117.82";"2400";""
"";"Eagle Lake Field";"United States";"40.63";"-120.83";"1652";""
"";"Golden Trout Creek";"United States";"36.358";"-118.32";"2886";""
"";"Inyo Craters";"United States";"37.692";"-119.02";"2629";""
"";"Lassen Volcanic Center";"United States";"40.492";"-121.508";"3187";""
"";"Lavic Lake";"United States";"34.75";"-116.625";"1495";""
"";"Mammoth Mountain";"United States";"37.631";"-119.032";"3369";""
"";"Medicine Lake";"United States";"41.611";"-121.554";"2412";""
"";"Mono Lake Volcanic Field";"United States";"38";"-119.03";"2121";""
"";"Mono-Inyo Craters";"United States";"37.804";"-119.029";"2796";""
"";"Salton Buttes";"United States";"33.197";"-115.616";"-40";""
"";"Shasta";"United States";"41.409";"-122.193";"4317";""
"";"Tumble Buttes";"United States";"40.68";"-121.55";"2191";""
"";"Twin Buttes";"United States";"40.78";"-121.6";"1631";""
"";"Ubehebe Craters";"United States";"37.02";"-117.45";"752";""
"";"Dotsero";"United States";"39.661";"-107.036";"2230";""
"";"Black Butte Crater Lava Field";"United States";"43.183";"-114.352";"1478";""
"";"Craters of the Moon";"United States";"43.371";"-113.493";"2005";""
"";"Hell's Half Acre";"United States";"43.492";"-112.45";"1632";""
"";"Wapi Lava Field";"United States";"42.886";"-113.217";"1597";""
"";"Soda Lakes";"United States";"39.525";"-118.878";"1251";""
"";"Carrizozo";"United States";"33.78";"-105.93";"1731";""
"";"Red Hill";"United States";"34.25";"-108.83";"2300";""
"";"Zuni-Bandera";"United States";"34.8";"-108";"2550";""
"";"Bachelor";"United States";"43.979";"-121.688";"2763";""
"";"Belknap";"United States";"44.285";"-121.841";"2095";""
"";"Blue Lake Crater";"United States";"44.413";"-121.769";"1136";""
"";"Cinnamon Butte";"United States";"43.241";"-122.111";"1958";""
"";"Crater Lake";"United States";"42.942";"-122.107";"2487";""
"";"Davis Lake";"United States";"43.57";"-121.82";"2163";""
"";"Devils Garden";"United States";"43.512";"-120.861";"1698";""
"";"Diamond Craters";"United States";"43.1";"-118.75";"1435";""
"";"Four Craters Lava Field";"United States";"43.361";"-120.669";"1501";""
"";"Hood";"United States";"45.374";"-121.695";"3426";""
"";"Jefferson";"United States";"44.674";"-121.8";"3199";""
"";"Jordan Craters";"United States";"43.147";"-117.46";"1473";""
"";"Newberry";"United States";"43.722";"-121.229";"2434";""
"";"Sand Mountain Field";"United States";"44.38";"-121.93";"1664";""
"";"South Sister";"United States";"44.1";"-121.77";"3157";""
"";"Squaw Ridge Field";"United States";"43.472";"-120.754";"1711";""
"";"Three Sisters";"United States";"44.133";"-121.767";"3159";""
"";"Bald Knoll";"United States";"37.328";"-112.408";"2135";""
"";"Black Rock Desert";"United States";"38.97";"-112.5";"1800";""
"";"Markagunt Plateau";"United States";"37.58";"-112.67";"2840";""
"";"Santa Clara";"United States";"37.257";"-113.625";"1465";""
"";"Adams";"United States";"46.206";"-121.49";"3742";""
"";"Baker";"United States";"48.777";"-121.813";"3285";""
"";"Glacier Peak";"United States";"48.112";"-121.113";"3213";""
"";"Indian Heaven";"United States";"45.93";"-121.82";"1806";""
"";"Rainier";"United States";"46.853";"-121.76";"4392";""
"";"St. Helens";"United States";"46.2";"-122.18";"2549";""
"";"West Crater";"United States";"45.88";"-122.08";"1329";""
"";"Yellowstone";"United States";"44.43";"-110.67";"2805";""
"";"Ambae";"Vanuatu";"-15.389";"167.835";"1496";""
"";"Ambrym";"Vanuatu";"-16.25";"168.12";"1334";""
"";"Aneityum";"Vanuatu";"-20.2";"169.78";"852";""
"";"East Epi";"Vanuatu";"-16.68";"168.389";"833";""
"";"Gaua";"Vanuatu";"-14.281";"167.514";"729";""
"";"Kuwae";"Vanuatu";"-16.83";"168.523";"-2";""
"";"Lopevi";"Vanuatu";"-16.507";"168.346";"1413";""
"";"Mere Lava";"Vanuatu";"-14.45";"168.05";"1028";""
"";"Motlav";"Vanuatu";"-13.67";"167.67";"411";""
"";"NE Shepherd Islands";"Vanuatu";"-16.992";"168.592";"216";""
"";"Nguna-Emau";"Vanuatu";"-17.452";"168.353";"589";""
"";"Suretamatai";"Vanuatu";"-13.8";"167.47";"921";""
"";"Traitor's Head";"Vanuatu";"-18.754";"169.238";"817";""
"";"Yasur";"Vanuatu";"-19.532";"169.447";"361";""
"";"Daikoku";"Japan";"21.324";"144.194";"-323";""
"";"Fukujin";"Japan";"21.93";"143.47";"-217";""
"";"Fukutoku-Oka-no-Ba";"Japan";"24.285";"141.481";"-29";""
"";"Ioto";"Japan";"24.751";"141.289";"169";""
"";"Kaikata Seamount";"Japan";"26.667";"140.929";"-165";""
"";"Kaitoku Seamount";"Japan";"26.122";"141.096";"-95";""
"";"Kasuga 1";"Japan";"21.765";"143.71";"-598";""
"";"Kita-Fukutokutai";"Japan";"24.417";"141.417";"-73";""
"";"Kita-Ioto";"Japan";"25.424";"141.284";"792";""
"";"Minami-Hiyoshi";"Japan";"23.5";"141.935";"-107";""
"";"Nikko";"Japan";"23.078";"142.326";"-392";""
"";"Nishinoshima";"Japan";"27.247";"140.874";"100";""
"";"Suiyo Seamount";"Japan";"28.575";"140.633";"-991";""
"";"Unnamed";"Japan";"26.133";"144.483";"-3200";""
"";"Diables, Morne aux";"Dominica";"15.612";"-61.43";"861";""
"";"Diablotins, Morne";"Dominica";"15.503";"-61.397";"1430";""
"";"Plat Pays, Morne";"Dominica";"15.255";"-61.341";"940";""
"";"Trois Pitons, Morne";"Dominica";"15.37";"-61.33";"1387";""
"";"Watt, Morne";"Dominica";"15.307";"-61.305";"1224";""
"";"St. Catherine";"Grenada";"12.15";"-61.67";"840";""
"";"Soufriere Guadeloupe";"Guadeloupe";"16.044";"-61.664";"1467";""
"";"Pelee";"Martinique";"14.809";"-61.166";"1372";""
"";"Soufriere Hills";"Montserrat";"16.72";"-62.18";"915";""
"";"Kick 'em Jenny";"Netherlands";"12.3";"-61.64";"-185";""
"";"Nevis Peak";"Netherlands";"17.15";"-62.58";"985";""
"";"Quill, The";"Netherlands";"17.478";"-62.96";"601";""
"";"Saba";"Netherlands";"17.63";"-63.23";"887";""
"";"Unnamed";"Netherlands";"16.13";"-61.28";"-7";""
"";"Liamuiga";"St. Kitts & Nevis";"17.37";"-62.8";"1156";""
"";"Qualibou";"St. Lucia";"13.83";"-61.05";"777";""
"";"Soufriere St. Vincent";"St. Vincent & the Grenadines";"13.33";"-61.18";"1220";""
